Student_ID,Name,Age,Gender,Department,Semester,Attendance_Percentage,Internal_Marks,CGPA,City,Scholarship
STU026,Aadhya Naidu,19,Male,CSE,6,72.1,48,7.45,Belagavi,No
STU027,Aarav Sharma,23,Female,EEE,5,85.7,39.1,8.48,Tumakuru,No
STU028,Ananya Naidu,19,Male,Civil,5,78.8,47.5,8.6,Hyderabad,Yes
STU029,Vihaan Das,22,Male,Mechanical,4,88.2,48.4,5.75,Belagavi,No
STU030,Riya Patel,25,Male,Mechanical,4,66.2,48,8.63,Bengaluru,Yes
STU031,Sai Sharma,24,Male,Civil,2,83.3,22.1,9.76,Mangaluru,No
STU032,Aarav Kumar,23,Male,AIML,8,94,27.4,7.03,Hubballi,Yes
STU033,Aadhya Singh,25,Female,Mechanical,3,99.4,25.6,7.68,Mysuru,No
STU034,Manish Kumar,23,Female,AIML,6,91.5,37.3,7.71,Tumakuru,No
STU035,Priya Joshi,18,Female,ECE,8,71.8,25.5,6.79,Hyderabad,Yes
STU036,Ananya Iyer,25,Female,Civil,1,71.8,27,6.24,Mysuru,No
STU037,Arjun Kulkarni,23,Male,Data Science,2,67.5,38,9.22,Bengaluru,Yes
STU038,Kavya Shetty,24,Female,Mechanical,2,85.5,44.7,6.25,Hubballi,Yes
STU039,Diya Kulkarni,25,Male,EEE,8,64.8,41.6,8.92,Mangaluru,Yes
STU040,Riya Verma,21,Female,Data Science,6,81.1,48,6.01,Tumakuru,No
STU041,Nisha Kumar,20,Male,ECE,7,65,32.5,9.86,Mysuru,No
STU042,Sai Reddy,19,Male,EEE,8,73,45.8,6.15,Hubballi,Yes
STU043,Pooja Rao,20,Female,ISE,5,81.8,30.3,8.58,Tumakuru,No
STU044,Sai Singh,23,Female,ISE,5,66.4,28.9,9.46,Bengaluru,No
STU045,Kiran Gupta,25,Male,CSE,7,87.7,49.1,6.18,Mysuru,Yes
STU046,Aarav Singh,21,Male,ISE,3,71.2,23.1,9.08,Belagavi,No
STU047,Kavya Das,21,Male,Mechanical,8,64,20.1,6.61,Belagavi,Yes
STU048,Riya Nair,22,Female,ISE,4,86.1,45.6,6.44,Belagavi,No
STU049,Aadhya Singh,18,Female,CSE,7,61,48.7,7.67,Chennai,Yes
STU050,Manish Verma,23,Female,ECE,6,68,26.4,5.62,Mysuru,No
STU051,Sneha Rao,22,Male,EEE,7,93,20.9,6.34,Mangaluru,Yes
STU052,Arjun Kumar,20,Male,ISE,7,96,45.2,6.36,Bengaluru,Yes
STU053,Pooja Rao,23,Female,CSE,4,94.7,38,8.19,Chennai,Yes
STU054,Diya Gupta,23,Female,Mechanical,3,68.9,22.7,7.52,Mangaluru,No
STU055,Rahul Joshi,25,Male,AIML,1,77.7,22.3,6.76,Bengaluru,No
STU056,Kiran Joshi,24,Male,Data Science,8,95.3,42.4,8.52,Bengaluru,Yes
STU057,Kiran Iyer,23,Female,Mechanical,2,66.6,30.9,8.8,Tumakuru,No
STU058,Vihaan Shetty,21,Male,AIML,1,82,41.6,5.8,Bengaluru,No
STU059,Ananya Shetty,23,Female,CSE,7,84.6,33.8,7.93,Bengaluru,Yes
STU060,Priya Sharma,22,Male,AIML,8,79.5,35.3,8.55,Chennai,No
STU061,Rahul Iyer,22,Female,EEE,7,69.5,44.1,8.1,Mangaluru,No
STU062,Diya Nair,21,Female,Civil,2,73.6,30.1,9.06,Tumakuru,Yes
STU063,Sai Shetty,19,Female,AIML,3,98.8,28.6,6.38,Hyderabad,Yes
STU064,Diya Kulkarni,25,Female,CSE,3,89.9,45.4,6.97,Hubballi,Yes
STU065,Manish Rao,22,Female,AIML,8,92.5,31.9,9.19,Mysuru,Yes
STU066,Nisha Patel,18,Female,CSE,5,100,24.9,9.42,Chennai,No
STU067,Nisha Iyer,21,Male,ISE,7,61.8,29.9,7.86,Mysuru,Yes
STU068,Aadhya Rao,19,Female,ECE,3,78.4,43.1,8.36,Bengaluru,Yes
STU069,Sai Naidu,19,Female,ECE,4,82.7,24.5,7.82,Tumakuru,No
STU070,Vihaan Gupta,20,Male,CSE,5,96.9,20.7,9.61,Hyderabad,No
STU071,Diya Joshi,22,Male,CSE,8,69.3,37.9,7.47,Hubballi,No
STU072,Nisha Kumar,20,Male,CSE,6,63.8,31.2,6.91,Mysuru,Yes
STU073,Diya Reddy,25,Female,ECE,8,60.8,24.5,7.77,Mangaluru,Yes
STU074,Riya Das,22,Male,AIML,8,92.8,31.6,9.66,Mysuru,No
STU075,Priya Reddy,21,Male,Mechanical,8,85.2,42.3,5.51,Tumakuru,No
STU076,Arjun Rao,25,Female,Civil,1,89.2,46.4,8.93,Mysuru,Yes
STU077,Diya Shetty,19,Female,EEE,2,94.7,41.5,8.87,Mysuru,Yes
STU078,Aditya Joshi,23,Female,ECE,7,72.3,45.4,8.04,Tumakuru,Yes
STU079,Sai Rao,19,Female,EEE,8,85.6,22.8,6.26,Belagavi,No
STU080,Aadhya Rao,24,Male,Data Science,1,66.8,29.8,8.31,Hyderabad,Yes
STU081,Diya Joshi,24,Female,Mechanical,6,75.4,23.5,5.74,Chennai,Yes
STU082,Vihaan Nair,18,Male,Mechanical,4,78.2,43.1,8.42,Tumakuru,No
STU083,Arjun Rao,18,Female,Civil,5,77.3,40.7,9.41,Tumakuru,Yes
STU084,Nisha Shetty,23,Female,Data Science,5,95.4,34.7,9.11,Belagavi,Yes
STU085,Nisha Joshi,25,Male,ECE,7,98.4,27.1,5.87,Tumakuru,No
STU086,Aadhya Gupta,19,Male,EEE,3,86.4,41,9.75,Chennai,No
STU087,Arjun Shetty,18,Female,Data Science,3,74.6,29.9,6.17,Chennai,No
STU088,Ananya Sharma,19,Female,AIML,3,74.2,21.6,6.27,Bengaluru,No
STU089,Nisha Verma,23,Female,AIML,6,76.3,36,8.02,Belagavi,No
STU090,Priya Kulkarni,20,Female,EEE,1,88.9,33.7,9.22,Bengaluru,Yes
STU091,Rahul Shetty,18,Male,ECE,8,78.1,20.5,7.33,Belagavi,Yes
STU092,Rohan Joshi,20,Female,ECE,7,75.5,24.5,7.38,Belagavi,Yes
STU093,Nisha Verma,20,Male,CSE,3,95.7,44.7,8.15,Mysuru,Yes
STU094,Ananya Patel,20,Female,Data Science,4,83.6,21.5,9.6,Hubballi,No
STU095,Aditya Das,18,Female,AIML,1,93,34.2,6.6,Mysuru,Yes
STU096,Kiran Gupta,24,Male,AIML,1,99.9,43.9,9.26,Mangaluru,No
STU097,Ananya Rao,19,Female,EEE,4,69.5,29.6,9.07,Hyderabad,No
STU098,Priya Naidu,25,Female,ECE,8,88,45.4,8.04,Bengaluru,No
STU099,Vihaan Sharma,22,Female,EEE,1,81.9,37.9,6.1,Tumakuru,No
STU100,Rohan Rao,22,Female,Mechanical,4,72.4,47,9.68,Tumakuru,Yes
STU101,Meera Sharma,23,Female,ISE,7,84.3,43.7,9.7,Tumakuru,No
STU102,Riya Reddy,20,Female,Civil,1,61.5,26.6,6.57,Belagavi,No
STU103,Diya Kumar,23,Male,AIML,1,92.8,44.8,8.23,Tumakuru,No
STU104,Arjun Naidu,19,Male,CSE,2,91.9,37.8,8.22,Hyderabad,Yes
STU105,Rohan Gupta,18,Male,Data Science,5,97,49.2,5.83,Tumakuru,No
STU106,Vihaan Iyer,18,Female,EEE,8,76.2,44.3,9.78,Chennai,Yes
STU107,Vihaan Das,20,Male,AIML,6,70.3,20.4,7.37,Hubballi,Yes
STU108,Vivaan Singh,25,Female,AIML,7,79.5,40.7,7.91,Hubballi,No
STU109,Nisha Verma,23,Female,AIML,6,61.3,36.9,8.58,Hyderabad,Yes
STU110,Sai Verma,20,Male,AIML,5,90.6,38.8,7.64,Hubballi,No
STU111,Riya Nair,20,Male,ECE,7,83.2,48.3,8.19,Mangaluru,No
STU112,Nisha Reddy,23,Female,Mechanical,6,62.7,22.7,9.99,Hubballi,No
STU113,Vihaan Verma,22,Male,Civil,7,99,20.8,8.48,Bengaluru,Yes
STU114,Arjun Rao,18,Female,EEE,8,91.3,32.8,6.07,Bengaluru,Yes
STU115,Pooja Patel,22,Male,Mechanical,8,85.8,48.6,8.95,Chennai,Yes
STU116,Sai Patel,23,Male,Civil,1,93.3,39.4,5.57,Mangaluru,No
STU117,Sai Iyer,18,Female,Mechanical,8,70,32.1,7.39,Hyderabad,No
STU118,Rohan Singh,25,Female,Civil,5,73.4,31.1,6.71,Mysuru,Yes
STU119,Rohan Reddy,23,Male,EEE,3,67.2,38.6,9.76,Hubballi,Yes
STU120,Sai Patel,25,Female,Data Science,4,95.2,47.5,5.89,Chennai,Yes
STU121,Nisha Kumar,21,Female,ECE,3,83.9,34,5.76,Belagavi,No
STU122,Aarav Nair,24,Female,ECE,2,68.4,41.3,7.55,Belagavi,No
STU123,Vihaan Reddy,23,Male,Data Science,8,90.5,48.6,7.08,Belagavi,No
STU124,Aadhya Das,24,Male,EEE,7,89,30.5,8.33,Tumakuru,Yes
STU125,Kavya Nair,25,Female,ISE,7,62.3,30.2,9.93,Tumakuru,No
STU126,Vivaan Reddy,20,Male,ISE,7,87,41.3,8.74,Hyderabad,Yes
STU127,Aadhya Joshi,20,Female,Civil,4,60.6,33.1,6.47,Bengaluru,Yes
STU128,Ananya Kumar,21,Male,ISE,4,86.3,46.7,9.18,Chennai,Yes
STU129,Sai Iyer,21,Female,CSE,5,69.7,32.4,9.83,Bengaluru,Yes
STU130,Riya Iyer,22,Male,EEE,3,76,46.5,8.36,Hubballi,No
STU131,Priya Patel,24,Female,Civil,2,80.6,48,6.41,Mangaluru,No
STU132,Rahul Iyer,20,Female,Mechanical,1,90.5,37.4,7.75,Bengaluru,No
STU133,Rahul Das,21,Male,Civil,6,84.7,32.5,6.77,Mangaluru,Yes
STU134,Meera Nair,25,Female,Civil,1,76.8,34.3,7.06,Bengaluru,No
STU135,Rohan Gupta,18,Male,Civil,7,89.4,44.4,8.5,Hubballi,No
STU136,Rahul Kulkarni,23,Female,ECE,7,77.7,48.1,8.08,Chennai,Yes
STU137,Diya Das,18,Male,ISE,6,99.9,36,5.99,Belagavi,Yes
STU138,Meera Reddy,22,Male,Civil,7,88.4,30,7.26,Chennai,Yes
STU139,Arjun Joshi,22,Female,Mechanical,3,96.4,41,9.17,Bengaluru,Yes
STU140,Rohan Sharma,18,Female,AIML,8,69.2,35.9,8.58,Tumakuru,No
STU141,Aditya Singh,22,Male,CSE,8,98.5,39.7,9.41,Mangaluru,Yes
STU142,Kavya Iyer,23,Male,EEE,2,86.1,36.7,9.76,Hyderabad,Yes
STU143,Rohan Shetty,19,Female,CSE,8,64.9,37.1,6.1,Tumakuru,Yes
STU144,Sai Shetty,21,Male,ECE,6,90.7,30.8,7.18,Mangaluru,Yes
STU145,Manish Das,21,Male,Civil,8,75.6,28.5,7.74,Tumakuru,Yes
STU146,Nisha Kumar,18,Male,Civil,7,77.2,43.4,7.04,Bengaluru,No
STU147,Rahul Iyer,20,Female,Civil,3,80.9,27.9,9.33,Mysuru,Yes
STU148,Vivaan Sharma,25,Female,Mechanical,4,87.7,33.6,6.74,Mysuru,No
STU149,Riya Kumar,21,Male,Data Science,1,63.5,45.3,8.18,Hubballi,Yes
STU150,Pooja Joshi,21,Female,Mechanical,7,92.8,31.3,9.46,Tumakuru,Yes
STU151,Kavya Reddy,20,Male,EEE,2,97,27.1,5.5,Mysuru,Yes
STU152,Meera Kulkarni,24,Male,Civil,3,93.4,26.5,7.19,Hubballi,No
STU153,Sai Nair,19,Male,AIML,6,64.4,26.7,5.54,Bengaluru,No
STU154,Aditya Verma,23,Female,Mechanical,3,84.7,38.6,8.92,Belagavi,No
STU155,Aditya Verma,23,Male,ECE,6,92.4,25.9,8.6,Mangaluru,Yes
STU156,Aadhya Naidu,23,Male,ECE,7,91.4,33,7.28,Hubballi,No
STU157,Nisha Sharma,19,Male,EEE,3,80.2,45.3,9.51,Hubballi,No
STU158,Meera Reddy,25,Male,Civil,3,94.7,25,6.21,Hubballi,No
STU159,Arjun Reddy,22,Male,CSE,4,76,31.5,8.19,Tumakuru,Yes
STU160,Sneha Singh,23,Male,Civil,2,93.3,24.8,9.77,Tumakuru,Yes
STU161,Aadhya Shetty,20,Male,Civil,8,68.9,44.5,7.61,Mysuru,Yes
STU162,Rahul Kulkarni,24,Female,Civil,7,75.7,42.5,7.28,Mysuru,No
STU163,Kiran Nair,21,Female,ECE,1,79.3,31.5,9.55,Tumakuru,No
STU164,Riya Gupta,21,Female,ECE,4,96.9,35.7,8.78,Belagavi,Yes
STU165,Arjun Das,19,Male,Data Science,8,66.3,30.7,7.04,Mangaluru,No
STU166,Aadhya Patel,23,Female,AIML,4,95,49.3,6.46,Mysuru,Yes
STU167,Aadhya Kumar,23,Female,Mechanical,8,66.2,25.8,9.82,Mangaluru,No
STU168,Nisha Iyer,25,Female,ECE,6,65.9,39.3,5.96,Belagavi,No
STU169,Rahul Kumar,25,Female,CSE,6,84.6,35.5,7.36,Mangaluru,No
STU170,Sai Kulkarni,22,Female,AIML,4,85.5,35.3,9.62,Hyderabad,No
STU171,Priya Shetty,21,Male,ECE,4,79.6,30.1,6.03,Bengaluru,No
STU172,Nisha Singh,23,Female,Data Science,3,76.7,28.8,7.34,Tumakuru,No
STU173,Diya Joshi,19,Female,Data Science,5,79,22.8,8.42,Bengaluru,No
STU174,Pooja Gupta,24,Female,EEE,3,64.6,40.2,5.81,Mangaluru,No
STU175,Diya Kulkarni,23,Male,ISE,3,65.1,25.4,6.68,Mangaluru,Yes
STU176,Sai Nair,20,Female,Civil,8,91,22.8,9.87,Hubballi,No
STU177,Pooja Patel,18,Female,CSE,8,74.8,46.1,7.01,Mysuru,Yes
STU178,Arjun Patel,20,Female,ISE,3,81.3,44.5,6.66,Hyderabad,No
STU179,Pooja Naidu,20,Male,Mechanical,8,65.5,29.7,8.07,Mangaluru,No
STU180,Manish Naidu,20,Male,ISE,8,78.3,21.7,7.93,Mysuru,No
STU181,Vihaan Nair,22,Female,ISE,6,92,38.4,8.9,Mysuru,Yes
STU182,Nisha Kulkarni,21,Female,EEE,6,81.1,30.6,9.36,Hubballi,Yes
STU183,Aditya Rao,19,Male,AIML,4,88.8,26.4,6.95,Hyderabad,No
STU184,Arjun Naidu,18,Female,AIML,2,90.2,40,8.32,Mysuru,Yes
STU185,Kavya Gupta,21,Male,Civil,8,82.9,39.2,5.93,Hyderabad,Yes
STU186,Kavya Nair,25,Female,ISE,7,92.4,46.3,9.76,Bengaluru,No
STU187,Sai Gupta,18,Male,ECE,8,77.9,22,9.53,Mangaluru,No
STU188,Arjun Rao,21,Male,CSE,3,66.6,25.9,5.8,Hubballi,No
STU189,Kiran Joshi,25,Female,ISE,3,99,21.5,9.66,Mangaluru,No
STU190,Aditya Gupta,22,Male,ECE,1,72.3,48.6,8.07,Belagavi,No
STU191,Riya Kulkarni,23,Female,Data Science,3,81.5,42.9,9.63,Hubballi,No
STU192,Kiran Sharma,24,Female,Civil,4,62.5,36.3,5.98,Tumakuru,No
STU193,Kiran Patel,18,Female,AIML,2,74,33.1,8.57,Belagavi,No
STU194,Kiran Singh,24,Male,Data Science,4,72.4,44,9.04,Bengaluru,Yes
STU195,Riya Das,25,Female,EEE,1,82.2,33.7,9.07,Mysuru,No
STU196,Aadhya Shetty,21,Female,Civil,2,82.9,46.2,6.62,Chennai,Yes
STU197,Diya Kulkarni,20,Female,Civil,7,62.2,26.6,6.04,Belagavi,No
STU198,Diya Sharma,22,Female,Mechanical,8,65.2,33.9,8.93,Belagavi,No
STU199,Priya Sharma,21,Female,Mechanical,1,91.5,37.5,8,Hyderabad,Yes
STU200,Riya Sharma,25,Female,CSE,8,87.4,36.9,8.63,Mysuru,No
STU201,Sneha Singh,24,Female,ECE,4,75.8,42.3,7.93,Tumakuru,Yes
STU202,Rohan Patel,24,Male,ISE,4,78.8,36.5,9.73,Mangaluru,Yes
STU203,Vivaan Verma,18,Female,Civil,1,86.5,42.2,8.78,Mysuru,Yes
STU204,Manish Kumar,22,Male,Mechanical,6,72.9,42.5,5.72,Mangaluru,Yes
STU205,Aditya Naidu,18,Male,ISE,5,97.3,37.9,7.23,Chennai,Yes
STU206,Vihaan Nair,24,Male,ECE,8,70.4,29.1,9.89,Chennai,No
STU207,Nisha Shetty,18,Female,Data Science,3,82,35.8,6.13,Bengaluru,No
STU208,Manish Kumar,18,Female,AIML,7,89.5,22.3,6.27,Chennai,Yes
STU209,Aditya Nair,18,Female,Civil,6,83.9,46,6.68,Hyderabad,Yes
STU210,Aarav Singh,20,Male,AIML,1,81.8,30.9,5.63,Chennai,Yes
STU211,Kiran Verma,21,Female,AIML,8,85.2,45,7.3,Mangaluru,No
STU212,Sai Joshi,24,Female,CSE,7,79.7,30.7,9.49,Mysuru,Yes
STU213,Kavya Gupta,23,Male,EEE,8,76.8,34.2,9.89,Chennai,Yes
STU214,Aarav Rao,21,Male,ECE,8,78.7,29,5.93,Mangaluru,Yes
STU215,Ananya Singh,22,Male,ECE,1,62.2,33.8,5.74,Mysuru,Yes
STU216,Rahul Nair,19,Female,AIML,4,62.3,42,8.55,Hubballi,Yes
STU217,Rohan Iyer,25,Female,ISE,6,87.4,34.3,9.82,Chennai,No
STU218,Meera Shetty,22,Female,EEE,3,79.9,32.8,8.24,Mangaluru,Yes
STU219,Sai Rao,20,Female,ISE,6,70.5,21.9,8,Hubballi,No
STU220,Nisha Sharma,21,Female,Data Science,1,84.1,40.6,5.79,Tumakuru,No
STU006,Manish Nair,22,Male,ECE,2,64.9,27,8.39,Bengaluru,No
STU019,Rohan Verma,24,Female,AIML,7,78.7,28,8.68,Hyderabad,Yes
STU033,Aadhya Singh,25,Female,Mechanical,3,99.4,25.6,7.68,Mysuru,No
STU048,Riya Nair,22,Female,ISE,4,86.1,45.6,6.44,Belagavi,No
STU066,Nisha Patel,18,Female,CSE,5,100,24.9,9.42,Chennai,No
STU089,Nisha Verma,23,Female,AIML,6,76.3,36,8.02,Belagavi,No
STU112,Nisha Reddy,23,Female,Mechanical,6,62.7,22.7,9.99,Hubballi,No
STU136,Rahul Kulkarni,23,Female,ECE,7,77.7,48.1,8.08,Chennai,Yes
STU161,Aadhya Shetty,20,Male,Civil,8,68.9,44.5,7.61,Mysuru,Yes
STU191,Riya Kulkarni,23,Female,Data Science,3,81.5,42.9,9.63,Hubballi,No
STU221,Aadhya Naidu,19,Male,CSE,6,72.1,48,7.45,Belagavi,No
STU222,Arjun Rao,25,Female,Civil,1,89.2,46.4,8.93,Mysuru,Yes
STU223,Vivaan Reddy,20,Male,ISE,7,87,41.3,8.74,Hyderabad,Yes
